238 La Salle Avenue, Piedmont CA 94610

829 Dunbarton Road, Montgomery AL 36117

7090 West 64th Avenue, Arvada CO 80003

1689 Fisher Pond Road, Saint Albans City VT 05478

2522 South College Drive, Fayetteville AR 72701

116 Frost Park, Hartford VT 05001

1304 Southwest 67th Street, Oklahoma City OK 73159

3466 Southview Avenue, Montgomery AL 36111

802 Virginia Avenue, Lynn Haven FL 32444

6040 West Kings Avenue, Glendale AZ 85306

4328 Brewer Road, Montgomery AL 36108

81 Reynolds Drive, Colchester VT 05446

5545 Saddlewood Lane, Brentwood TN 37027

6140 Fenton Street, Arvada CO 80003

894 Windmill Park Lane, Mountain View CA 94043

82 The Commons, Moretown VT 05660

7800 River Mist Avenue, Bakersfield CA 93313

467 North Mountain Ranch Road, Fayetteville AR 72704

1695 Archer Street, Savannah GA 31405

1514 16th Street Southeast, Washington AR 20020

14505 Landis Villa Drive, Louisville KY 40245

2641 Heather Lane, Redding CA 96002

1011 Bell Avenue, Glen Burnie MD 21060

513 Habberton Road, Fayetteville AR 72703

370 Wallace Road, Nashville TN 37211

5311 Chenoweth Park Lane, Louisville KY 40291

168 Partridge Hill Road, Charlton MA 01507

5024 West Christy Drive, Glendale AZ 85304

171 Tolland Turnpike, Manchester CT 06042

327 Fairway Boulevard, Panama City Beach FL 32407

13426 North 54th Drive, Glendale AZ 85304

60 Bagley Street, Saint Johnsbury VT 05819

6145 East Castro Valley Boulevard, Castro Valley CA 94552

3819 Vineyard Avenue, Pleasanton CA 94566

864 Main Street, Worcester MA 01610

1809 Hughes Street, Nashville TN 37208

2622 Martin Luther King Junior Boulevard, Fayetteville AR 72704

32532 Jean Drive, Union City CA 94587

1 Tanaquay Court, Savannah GA 31411

4430 Davenport Street Northwest, Washington AR 20016

5444 Nicole Boulevard, Panama City FL 32404

8934 Arrowrock Trail, Smartsville CA 95977

58 Rice Street Southwest, Washington AR 20032

640 Hilliard Street, Manchester CT 06042

475 Maple Street, Holyoke MA 01040

3 Southerberry Drive, undefined VT 05468

732 Kevin Court, Oakland CA 94621

1413 G Street, Anchorage AK 99501

5701 East Shirley Lane, Montgomery AL 36117

60 Desousa Drive, Manchester CT 06040

4075 North Cadillac Drive, Fayetteville AR 72703

23622 Greatland Drive, Anchorage AK 99567

8569 Vermont 9, Woodford VT 05201

43626 Bryant Street, Fremont CA 94539

1403 Boulder Court, Hanover MD 21076

560 Penstock Drive, Grass Valley CA 95945

9222 Sandra Grace Road, Southport FL 32409

5631 West Colter Street, Glendale AZ 85301

2505 North Hampton Court, Fayetteville AR 72703

3114 US Highway 98, Mexico Beach FL 32456

19091 Northeast 23rd Street, Harrah OK 73045

1918 Spruce Street, Boulder CO 80302

185 Woodlawn Road, Burlington VT 05408

15 Mystic Avenue, Medford MA 02155

5821 Taft Street, Arvada CO 80004

7401 North 61st Drive, Glendale AZ 85301

7541 Florence Circle, Anchorage AK 99507

736 Sicard Street Southeast, Washington AR 20003

531 Bobbin Mill Road, Lunenburg VT 05906

1797 Pasatiempo Drive, Chico CA 95928

3321 Furman Boulevard, Louisville KY 40220

412 Lakefront Drive, Panama City Beach FL 32413

2649 Firewood Drive, Fayetteville AR 72703

1011 Devon Drive, Hayward CA 94542

6739 Taft Court, Arvada CO 80004

4313 Wisconsin Street, Anchorage AK 99517

74 Heard Street, Chelsea MA 02150

309 Water Street, North Little Rock AR 72117

325 Joseph Circle, Southport FL 32409

2 Addison Place, Bloomingdale GA 31302

9 Kimball Court, Burlington MA 01803

412 Virginia Avenue, Louisville KY 40222

104 Greenwood Drive, Manchester CT 06042

8447 West 51st Avenue, Arvada CO 80002

8157 East Beach Drive Northwest, Washington AR 20012

7 Underwood Place Northwest, Washington AR 20012

3722 Kisling Loop, Tyndall Air Force Base FL 32403

312 Shepherd Hills Drive, Nashville TN 37115

17020 West 64th Drive, Arvada CO 80007

2455 Manchester Drive, The Village OK 73120

7701 Southwest 104th Street, Oklahoma City OK 73169

1200 S Street, Anchorage AK 99501

223 Main Street, Nashville TN 37213

207 Maple Hill Road, Shaftsbury VT 05262

424 North Powderhorn Drive, Fayetteville AR 72704

3402 Prestwood Drive, Louisville KY 40219

8150 North 61st Avenue, Glendale AZ 85302

7502 Kingman Street, Panama City Beach FL 32408

620 Oakland Avenue, Fayetteville AR 72701

5938 Laguna Honda Street, Redding CA 96001

10819 Bluegrass Parkway, Jeffersontown KY 40299

501 Holly Avenue, Pooler GA 31322

2335 Orchard View Lane, Escondido CA 92027

