2534 Willena Avenue, Montgomery AL 36107

1400 Doris Drive, Louisville KY 40118

3365 Wyndham Drive, Fremont CA 94536

14213 Doc Hawley Street, Louisville KY 40245

123 Blossom Road, Westport MA 02790

12039 West 85th Drive, Arvada CO 80005

63 Dorchester Street, Worcester MA 01604

1622 Edgar D Nixon Avenue, Montgomery AL 36104

6231 North 59th Avenue, Glendale AZ 85301

2927 Martin Luther King Junior Avenue Southeast, Washington AR 20020

37608 2nd Street, Fremont CA 94536

4418 Signal Hill Road, Louisville KY 40207

2721 Lindsay Avenue, Louisville KY 40206

11507 East Neville Avenue, Mesa AZ 85209

1736 81st Avenue, Oakland CA 94621

932 Northwest 20th Street, Moore OK 73160

8505 Waters Avenue, Savannah GA 31406

1227 Aaron Street, Montgomery AL 36104

2903 West 31st Avenue, Anchorage AK 99517

7802 North Alsup Road, Litchfield Park AZ 85340

4714 Narrow Lane Road, Montgomery AL 36116

201 Lee Boulevard, Savannah GA 31405

8219 Minor Lane, Louisville KY 40219

663 Chesapeake Way, Fayetteville AR 72701

6534 Benton Circle, Arvada CO 80003

8521 Crystal Street, Anchorage AK 99502

7232 West Melinda Lane, Glendale AZ 85308

6710 Quay Street, Arvada CO 80003

82 Queen Court, Manchester CT 06040

4050 Lake Otis Parkway, Anchorage AK 99508

1021 North Center Avenue, Panama City FL 32401

5102 Ander Drive, Brentwood TN 37027

2809 Briarcliff Road, Panama City FL 32405

831 21st Street Northeast, Washington AR 20002

36360 Beech Place, Newark CA 94560

11300 Lillian Lane, Anchorage AK 99515

6460 Vermont 113, Vershire VT 05079

1256 Talbert Street Southeast, Washington AR 20020

36043 Soapberry Commons, Fremont CA 94536

4112 Rockdale Street, Savannah GA 31405

29 Lucian Street, Manchester CT 06040

1397 Tallac Lane, Lincoln CA 95648

2741 31st Place Northeast, Washington AR 20018

11865 West 74th Avenue, Arvada CO 80005

1842 West Park Place, Oklahoma City OK 73106

1304 Northern Hills Road, Norman OK 73071

