sep=;
42.08955,-72.63071;42.08948,-72.62753;42.08964,-72.62708;42.09072,-72.6264;42.09155,-72.62787;42.092,-72.62847;42.09367,-72.62871;42.09568,-72.6279;42.09732,-72.62668;42.0988,-72.62605;42.09996,-72.62639;42.10116,-72.62674;42.10259,-72.62475;42.10316,-72.62384;42.10423,-72.62174;42.10637,-72.61753;42.10712,-72.61617;42.11064,-72.61087;42.11154,-72.60851;42.11072,-72.60647;42.10798,-72.60353;42.10751,-72.60204;42.10772,-72.60027;42.10986,-72.59673;42.11274,-72.59305;42.11594,-72.58866;42.11869,-72.58314;42.12209,-72.57447;42.12585,-72.56874;42.12818,-72.56396;42.13037,-72.55928;42.13298,-72.55701;42.13907,-72.55316;42.14096,-72.5512;42.14329,-72.5496;42.14679,-72.54936;42.15049,-72.54949;42.15336,-72.54907;42.16064,-72.54749;42.16312,-72.54697;42.16362,-72.54644;42.16372,-72.54487;42.16358,-72.54331;42.16325,-72.54219;42.1616,-72.54213;42.1604,-72.54193;42.1602,-72.54036;42.16112,-72.53883;42.16129,-72.53759;42.16277,-72.52213;42.16675,-72.48445;42.16787,-72.47311;42.16803,-72.47094;42.16796,-72.47022;42.16719,-72.46957;42.16676,-72.47048;42.16722,-72.47131;42.16918,-72.47348;42.16918,-72.47502;42.17045,-72.47965;42.17152,-72.4785;42.17537,-72.47409;42.17591,-72.47314;42.17708,-72.47236;42.18007,-72.47137;42.18066,-72.47056;42.18438,-72.4666;42.18857,-72.46265;42.19206,-72.45913;42.19244,-72.4579;42.1922,-72.4557;42.19276,-72.45154;42.19313,-72.44862;42.19366,-72.44596;42.19458,-72.44384;42.19708,-72.43631;42.19882,-72.43344;42.20004,-72.42836;42.2012,-72.42457;42.20213,-72.4214;42.20461,-72.41357;42.20566,-72.41036;42.20865,-72.40751;42.21018,-72.40639;42.21063,-72.40537;42.21059,-72.40245;42.21178,-72.40013;42.21226,-72.39756;42.21274,-72.39179;42.21228,-72.38993;42.21136,-72.38744;42.21087,-72.38338;42.20945,-72.37951;42.20864,-72.37754;42.20867,-72.37579;42.20907,-72.37256;42.20928,-72.37;42.20989,-72.36867;42.20989,-72.36716;42.20905,-72.36649;42.20942,-72.36569;42.21057,-72.36443;42.21058,-72.36328;42.21105,-72.36344;42.21212,-72.36323;42.21327,-72.36319;42.21482,-72.36418;42.21561,-72.36382;42.21862,-72.36371;42.21962,-72.36438;42.22056,-72.36406;42.22121,-72.36431;42.22324,-72.36411;42.22632,-72.36255;42.22732,-72.36162;42.22851,-72.36183;42.22948,-72.36219;42.2319,-72.3622;42.2309,-72.36078;42.08955,-72.63071
42.13359,-72.18997;42.13314,-72.18972;42.13273,-72.18996;42.13184,-72.191;42.13075,-72.19194;42.13052,-72.19254;42.13106,-72.19498;42.1314,-72.19598;42.13084,-72.1964;42.12951,-72.19596;42.12839,-72.19602;42.12696,-72.1965;42.12325,-72.19914;42.12258,-72.19995;42.12228,-72.20137;42.1211,-72.21135;42.12035,-72.21605;42.11819,-72.22238;42.11761,-72.2234;42.11631,-72.22444;42.11462,-72.22567;42.11397,-72.22693;42.11391,-72.22871;42.1143,-72.23024;42.11692,-72.23542;42.1183,-72.23828;42.11894,-72.24063;42.11914,-72.2436;42.11946,-72.24607;42.12029,-72.24811;42.12133,-72.24949;42.12452,-72.25147;42.13049,-72.25484;42.13155,-72.25582;42.13413,-72.25893;42.13667,-72.26234;42.13755,-72.26443;42.13805,-72.26625;42.13947,-72.27137;42.14034,-72.27442;42.14146,-72.27716;42.1431,-72.28271;42.14378,-72.28447;42.14396,-72.28602;42.14408,-72.28932;42.14506,-72.29553;42.14534,-72.29915;42.14594,-72.30257;42.14691,-72.30433;42.14966,-72.3073;42.14996,-72.30791;42.15136,-72.31491;42.15219,-72.31782;42.15347,-72.32175;42.15545,-72.32398;42.15969,-72.32895;42.16467,-72.32679;42.16628,-72.32602;42.16823,-72.32621;42.16883,-72.32626;42.1691,-72.3271;42.1697,-72.32966;42.17023,-72.33036;42.17082,-72.33076;42.173,-72.33208;42.17358,-72.33276;42.17365,-72.33359;42.17332,-72.33423;42.17229,-72.3354;42.17167,-72.33648;42.17134,-72.33793;42.17108,-72.34079;42.17076,-72.34464;42.17032,-72.34701;42.16917,-72.35046;42.16735,-72.3538;42.16304,-72.35954;42.1582,-72.3662;42.15659,-72.36929;42.15529,-72.37285;42.15443,-72.37645;42.15399,-72.38005;42.15393,-72.3835;42.15426,-72.38732;42.15618,-72.40088;42.15791,-72.41292;42.15894,-72.4161;42.16367,-72.42687;42.16892,-72.43898;42.17004,-72.44312;42.17046,-72.44625;42.17046,-72.45113;42.16843,-72.47065;42.16736,-72.48034;42.16581,-72.49556;42.16211,-72.53139;42.16159,-72.53758;42.16167,-72.54125;42.16256,-72.5494;42.16314,-72.55267;42.164,-72.55553;42.16718,-72.56381;42.1685,-72.56779;42.16911,-72.57096;42.1696,-72.57664;42.16978,-72.57906;42.1699,-72.57943;42.17029,-72.58025;42.17121,-72.58072;42.17246,-72.5806;42.17308,-72.58014;42.17341,-72.57863;42.1732,-72.57645;42.17518,-72.57632;42.17936,-72.57701;42.17998,-72.57699;42.18034,-72.5768;42.18074,-72.57619;42.18118,-72.57393;42.13359,-72.18997
42.26949,-72.6578;42.26949,-72.6578;42.26949,-72.6578;42.26949,-72.6578;42.26949,-72.6578;42.26949,-72.6578;42.26949,-72.6578;42.26949,-72.6578;42.26949,-72.6578;42.26996,-72.65796;42.26996,-72.65796;42.26996,-72.65796;42.26996,-72.65796;42.26996,-72.65796;42.26996,-72.65796;42.26996,-72.65796;42.26996,-72.65796;42.26996,-72.65796;42.26981,-72.65862;42.26981,-72.65862;42.26981,-72.65862;42.26981,-72.65862;42.26981,-72.65862;42.26981,-72.65862;42.26981,-72.65862;42.26981,-72.65862;42.26958,-72.65987;42.26958,-72.65987;42.26958,-72.65987;42.26958,-72.65987;42.26958,-72.65987;42.26958,-72.65987;42.26958,-72.65987;42.26958,-72.65987;42.26958,-72.65987;42.26947,-72.6605;42.26947,-72.6605;42.26947,-72.6605;42.26947,-72.6605;42.26947,-72.6605;42.26947,-72.6605;42.26947,-72.6605;42.26947,-72.6605;42.2689,-72.66031;42.2689,-72.66031;42.2689,-72.66031;42.2689,-72.66031;42.2689,-72.66031;42.2689,-72.66031;42.2689,-72.66031;42.2689,-72.66031;42.2689,-72.66031;42.26886,-72.66025;42.26886,-72.66025;42.26886,-72.66025;42.26886,-72.66025;42.26886,-72.66025;42.26886,-72.66025;42.26886,-72.66025;42.26886,-72.66025;42.26886,-72.66025;42.26878,-72.66018;42.26878,-72.66018;42.26878,-72.66018;42.26878,-72.66018;42.26878,-72.66018;42.26878,-72.66018;42.26878,-72.66018;42.26878,-72.66018;42.26858,-72.66011;42.26858,-72.66011;42.26858,-72.66011;42.26858,-72.66011;42.26858,-72.66011;42.26858,-72.66011;42.26858,-72.66011;42.26858,-72.66011;42.26858,-72.66011;42.2667,-72.65966;42.2667,-72.65966;42.2667,-72.65966;42.2667,-72.65966;42.2667,-72.65966;42.2667,-72.65966;42.2667,-72.65966;42.2667,-72.65966;42.26692,-72.65763;42.26692,-72.65763;42.26692,-72.65763;42.26692,-72.65763;42.26692,-72.65763;42.26692,-72.65763;42.26692,-72.65763;42.26692,-72.65763;42.26692,-72.65763;42.26699,-72.65689;42.26699,-72.65689;42.26699,-72.65689;42.26699,-72.65689;42.26699,-72.65689;42.26699,-72.65689;42.26699,-72.65689;42.26699,-72.65689;42.26769,-72.65704;42.26769,-72.65704;42.26769,-72.65704;42.26769,-72.65704;42.26769,-72.65704;42.26769,-72.65704;42.26769,-72.65704;42.26769,-72.65704;42.26769,-72.65704;42.26769,-72.65707;42.26769,-72.65707;42.26769,-72.65707;42.26769,-72.65707;42.26769,-72.65707;42.26769,-72.65707;42.26769,-72.65707;42.26949,-72.6578
42.08231,-72.48863;42.08231,-72.48863;42.08139,-72.48777;42.08139,-72.48777;42.08101,-72.48743;42.08101,-72.48743;42.08084,-72.4873;42.08062,-72.48716;42.08062,-72.48716;42.08032,-72.48704;42.08032,-72.48704;42.07998,-72.48697;42.07998,-72.48697;42.07979,-72.48694;42.07936,-72.48757;42.07936,-72.48757;42.07887,-72.48827;42.07887,-72.48827;42.07854,-72.48876;42.07757,-72.49039;42.07757,-72.49039;42.07702,-72.49138;42.07702,-72.49138;42.07656,-72.4923;42.07643,-72.49263;42.07643,-72.49263;42.0763,-72.49306;42.0763,-72.49306;42.07595,-72.49417;42.07595,-72.49417;42.07575,-72.49485;42.07555,-72.49541;42.07555,-72.49541;42.07546,-72.49563;42.07546,-72.49563;42.07529,-72.49593;42.07529,-72.49593;42.07509,-72.49622;42.07487,-72.49649;42.07487,-72.49649;42.07389,-72.49748;42.07389,-72.49748;42.07332,-72.49804;42.07314,-72.49826;42.07314,-72.49826;42.07291,-72.49866;42.07291,-72.49866;42.07276,-72.49904;42.07276,-72.49904;42.07269,-72.49933;42.07264,-72.49964;42.07264,-72.49964;42.07259,-72.50012;42.07259,-72.50012;42.07252,-72.501;42.07248,-72.50139;42.07248,-72.50139;42.07247,-72.50148;42.07247,-72.50148;42.07285,-72.5016;42.07285,-72.5016;42.07338,-72.50176;42.0737,-72.50186;42.0737,-72.50186;42.07418,-72.50202;42.07418,-72.50202;42.07435,-72.50213;42.07443,-72.50221;42.07443,-72.50221;42.0748,-72.50271;42.0748,-72.50271;42.07504,-72.50308;42.07516,-72.50335;42.07516,-72.50335;42.07522,-72.50369;42.07522,-72.50369;42.07523,-72.50386;42.07523,-72.50386;42.07521,-72.5042;42.07513,-72.50453;42.07513,-72.50453;42.07501,-72.50477;42.07501,-72.50477;42.07486,-72.50498;42.07464,-72.50518;42.07464,-72.50518;42.07419,-72.50543;42.07419,-72.50543;42.07397,-72.50559;42.07397,-72.50559;42.0739,-72.50569;42.07384,-72.50581;42.07384,-72.50581;42.07382,-72.50597;42.07382,-72.50597;42.07383,-72.50613;42.07388,-72.50643;42.07388,-72.50643;42.07396,-72.50686;42.07396,-72.50686;42.07402,-72.50721;42.07402,-72.50721;42.07408,-72.50818;42.07414,-72.50945;42.07414,-72.50945;42.07413,-72.50998;42.07413,-72.50998;42.0731,-72.51002;42.07227,-72.51004;42.07227,-72.51004;42.07166,-72.51008;42.07166,-72.51008;42.07149,-72.51011;42.07149,-72.51011;42.07108,-72.51021;42.07048,-72.51047;42.07048,-72.51047;42.06767,-72.51177;42.06767,-72.51177;42.08231,-72.48863
42.06987,-72.65142;42.07095,-72.65148;42.07138,-72.64862;42.07203,-72.64459;42.07184,-72.64276;42.0706,-72.64036;42.07012,-72.64029;42.06983,-72.64081;42.06955,-72.64245;42.07065,-72.64099;42.07347,-72.63247;42.0755,-72.62199;42.07553,-72.61024;42.07775,-72.59843;42.08012,-72.58875;42.08201,-72.58064;42.08186,-72.57902;42.08249,-72.57848;42.08532,-72.57981;42.09223,-72.58247;42.09896,-72.58978;42.10252,-72.59443;42.10444,-72.59865;42.10595,-72.60024;42.10768,-72.59968;42.10943,-72.59671;42.11361,-72.59183;42.11652,-72.58769;42.12007,-72.57941;42.12255,-72.57372;42.12675,-72.56718;42.13043,-72.55919;42.13427,-72.55626;42.13914,-72.55309;42.14158,-72.55063;42.14412,-72.54938;42.1506,-72.54949;42.15434,-72.54885;42.16264,-72.54708;42.16384,-72.54586;42.16359,-72.54321;42.16258,-72.54197;42.16035,-72.54188;42.16024,-72.54029;42.16101,-72.53913;42.16308,-72.51911;42.16792,-72.47265;42.16957,-72.45635;42.17014,-72.44675;42.16817,-72.43809;42.16266,-72.42554;42.15794,-72.41359;42.15407,-72.38692;42.15383,-72.3804;42.15553,-72.3716;42.15855,-72.36534;42.16645,-72.35476;42.16936,-72.34959;42.17082,-72.34262;42.17154,-72.33471;42.17116,-72.33134;42.16897,-72.32684;42.16911,-72.32629;42.17164,-72.32574;42.17378,-72.32331;42.1749,-72.3213;42.17682,-72.31966;42.17966,-72.31863;42.18041,-72.3163;42.1816,-72.31475;42.18588,-72.31491;42.18691,-72.3146;42.18867,-72.31312;42.18994,-72.30984;42.19091,-72.30885;42.19332,-72.3077;42.19422,-72.30549;42.19489,-72.30454;42.1975,-72.3041;42.20007,-72.30229;42.20484,-72.30135;42.20652,-72.30128;42.20987,-72.30243;42.21254,-72.30184;42.21693,-72.29962;42.22378,-72.29824;42.2265,-72.29586;42.22783,-72.2937;42.23016,-72.29271;42.23449,-72.29011;42.23647,-72.28895;42.2389,-72.28559;42.23959,-72.28048;42.24118,-72.27777;42.24319,-72.27327;42.24822,-72.26677;42.24907,-72.26303;42.25024,-72.25912;42.25301,-72.25649;42.25695,-72.24931;42.26041,-72.24163;42.26149,-72.23839;42.26629,-72.23445;42.27308,-72.2286;42.27384,-72.22486;42.2747,-72.22304;42.27773,-72.22203;42.28107,-72.22109;42.28293,-72.21994;42.28514,-72.2151;42.28676,-72.21247;42.28702,-72.21185;42.28834,-72.21183;42.29145,-72.21276;42.2943,-72.21242;42.29977,-72.21145;42.3101,-72.20997;42.31101,-72.20872;42.31229,-72.20643;42.06987,-72.65142
42.36006,-72.57238;42.36147,-72.57294;42.36074,-72.57516;42.35979,-72.57722;42.35951,-72.57771;42.3582,-72.57891;42.35666,-72.58018;42.35592,-72.58157;42.35468,-72.58582;42.35457,-72.58694;42.35454,-72.5871;42.35198,-72.58797;42.35118,-72.5888;42.35018,-72.5902;42.34959,-72.59052;42.34871,-72.59044;42.34406,-72.58942;42.34219,-72.58989;42.34205,-72.59301;42.34171,-72.59678;42.34029,-72.60439;42.34023,-72.60494;42.33924,-72.61041;42.33901,-72.61164;42.33889,-72.61218;42.33865,-72.61431;42.3383,-72.61552;42.33748,-72.61663;42.33538,-72.61897;42.33432,-72.62027;42.3338,-72.62066;42.33377,-72.62084;42.3336,-72.621;42.33317,-72.62134;42.33243,-72.62191;42.33193,-72.62065;42.33138,-72.61972;42.33103,-72.61928;42.32885,-72.61764;42.32724,-72.61675;42.32598,-72.61624;42.32408,-72.61572;42.32134,-72.6155;42.31989,-72.61563;42.31784,-72.6161;42.31625,-72.61671;42.31506,-72.61732;42.31321,-72.61858;42.30692,-72.62437;42.30471,-72.62643;42.30326,-72.62771;42.30166,-72.62877;42.30009,-72.62948;42.29834,-72.62989;42.29624,-72.62989;42.29493,-72.62961;42.29334,-72.62898;42.29171,-72.62794;42.29063,-72.62698;42.28912,-72.6252;42.28831,-72.624;42.2866,-72.62088;42.28294,-72.61309;42.28155,-72.61026;42.28043,-72.60865;42.27911,-72.60737;42.27782,-72.60654;42.27677,-72.60611;42.27548,-72.60584;42.27419,-72.60583;42.27267,-72.60618;42.27104,-72.60701;42.26993,-72.60789;42.26837,-72.60954;42.26602,-72.61237;42.26528,-72.61304;42.26179,-72.61518;42.25842,-72.61717;42.25726,-72.61803;42.254,-72.62101;42.25191,-72.62268;42.25029,-72.62357;42.24753,-72.62488;42.24576,-72.62605;42.24412,-72.62751;42.24236,-72.629;42.24047,-72.63016;42.23689,-72.63202;42.23112,-72.63557;42.22962,-72.63642;42.22846,-72.63687;42.22683,-72.63717;42.22475,-72.63707;42.22349,-72.63673;42.22205,-72.63608;42.21974,-72.63457;42.21948,-72.6345;42.21904,-72.63441;42.21848,-72.6347;42.21827,-72.63501;42.21755,-72.63708;42.21729,-72.63732;42.21657,-72.6372;42.21513,-72.63726;42.21448,-72.63692;42.21423,-72.63659;42.21359,-72.63557;42.21313,-72.63513;42.21228,-72.63449;42.21082,-72.63326;42.21063,-72.6326;42.21071,-72.63032;42.21053,-72.62995;42.20955,-72.63018;42.20759,-72.63078;42.20521,-72.63079;42.20582,-72.62444;42.20547,-72.62335;42.20419,-72.62099;42.36006,-72.57238
42.20424,-72.59801;42.20468,-72.59687;42.20417,-72.59468;42.20327,-72.59503;42.20265,-72.59546;42.20148,-72.59672;42.19794,-72.60222;42.1968,-72.60303;42.19589,-72.60201;42.19369,-72.60021;42.19297,-72.59991;42.19267,-72.59997;42.19231,-72.59967;42.19218,-72.5988;42.19054,-72.59888;42.18862,-72.59909;42.18802,-72.59901;42.18699,-72.59837;42.18659,-72.59806;42.18566,-72.59653;42.18486,-72.59474;42.18363,-72.5932;42.18236,-72.5924;42.17872,-72.58978;42.17545,-72.58765;42.17453,-72.58711;42.1729,-72.5867;42.17297,-72.58557;42.17338,-72.58174;42.17331,-72.58138;42.17287,-72.58083;42.17244,-72.58073;42.17148,-72.58082;42.16916,-72.58104;42.16862,-72.58124;42.16835,-72.58169;42.16833,-72.58203;42.16858,-72.58253;42.16893,-72.58264;42.16917,-72.58252;42.16944,-72.58197;42.16949,-72.58065;42.16943,-72.57903;42.16885,-72.5718;42.16832,-72.56858;42.16714,-72.56473;42.16515,-72.55947;42.16322,-72.55417;42.16253,-72.55126;42.16194,-72.5466;42.16154,-72.54313;42.16129,-72.53941;42.16134,-72.53626;42.16179,-72.53161;42.16399,-72.51039;42.16615,-72.49012;42.16666,-72.48538;42.1671,-72.48118;42.16799,-72.47186;42.16866,-72.46508;42.16998,-72.45231;42.17019,-72.44943;42.17011,-72.44629;42.16971,-72.44331;42.16913,-72.44086;42.16811,-72.43795;42.16347,-72.42736;42.15938,-72.41806;42.1586,-72.41603;42.1577,-72.41241;42.15695,-72.4072;42.15513,-72.39441;42.15387,-72.38497;42.15384,-72.38027;42.15417,-72.37721;42.15449,-72.37544;42.15531,-72.37228;42.15631,-72.36956;42.15709,-72.36789;42.15885,-72.3649;42.16179,-72.36095;42.16669,-72.35443;42.1673,-72.35359;42.16831,-72.35191;42.16953,-72.34915;42.1701,-72.34728;42.17061,-72.34473;42.17104,-72.33939;42.17154,-72.33471;42.17156,-72.33407;42.17154,-72.33242;42.17123,-72.33145;42.17092,-72.33104;42.17035,-72.33057;42.16962,-72.32966;42.16932,-72.32869;42.16897,-72.32684;42.16851,-72.32629;42.1681,-72.32619;42.16805,-72.32637;42.16797,-72.32945;42.16811,-72.33055;42.16888,-72.3321;42.16856,-72.33272;42.16792,-72.33465;42.16728,-72.33591;42.16544,-72.33875;42.16411,-72.34162;42.16411,-72.34387;42.17024,-72.3451;42.17284,-72.34567;42.17401,-72.34561;42.17543,-72.34539;42.17597,-72.3455;42.17905,-72.34682;42.18028,-72.34762;42.18096,-72.34785;42.1826,-72.34798;42.18452,-72.34789;42.20424,-72.59801
42.22137,-72.57837;42.22138,-72.57807;42.22122,-72.57739;42.22167,-72.5774;42.22188,-72.5776;42.22195,-72.57743;42.22206,-72.57674;42.22204,-72.57509;42.22184,-72.57287;42.21982,-72.57263;42.21672,-72.5727;42.21488,-72.57251;42.21406,-72.57238;42.21245,-72.5721;42.21092,-72.57181;42.20695,-72.5711;42.20589,-72.57105;42.20457,-72.57117;42.20347,-72.57144;42.20037,-72.57274;42.19922,-72.57326;42.193,-72.57605;42.19064,-72.57709;42.18889,-72.57756;42.18644,-72.57757;42.18103,-72.57743;42.17794,-72.57697;42.17542,-72.57653;42.17474,-72.5765;42.17384,-72.57663;42.17349,-72.57695;42.17347,-72.57807;42.17333,-72.58033;42.17326,-72.58059;42.17238,-72.58074;42.17127,-72.58084;42.1707,-72.5811;42.17039,-72.58147;42.17011,-72.58217;42.17004,-72.58285;42.16997,-72.58325;42.16996,-72.58364;42.16979,-72.58637;42.16952,-72.58836;42.16866,-72.5924;42.168,-72.59486;42.16687,-72.5978;42.16602,-72.5995;42.16478,-72.60146;42.16376,-72.60281;42.15903,-72.60893;42.15757,-72.61097;42.1561,-72.61375;42.15555,-72.61513;42.1548,-72.61772;42.15438,-72.61999;42.15414,-72.62304;42.15407,-72.62686;42.15363,-72.64202;42.15328,-72.64799;42.1533,-72.65119;42.15336,-72.65545;42.15314,-72.65778;42.15259,-72.66047;42.15188,-72.66271;42.14934,-72.66975;42.1488,-72.671;42.14677,-72.67461;42.14193,-72.68277;42.14104,-72.68449;42.1405,-72.68577;42.13976,-72.68817;42.13931,-72.69043;42.13906,-72.69289;42.13905,-72.69509;42.13958,-72.70385;42.14007,-72.7106;42.1407,-72.71369;42.14219,-72.71965;42.14315,-72.72398;42.14386,-72.72821;42.14458,-72.73198;42.14479,-72.73245;42.14537,-72.73304;42.14601,-72.73359;42.14627,-72.73418;42.14623,-72.73464;42.1458,-72.73516;42.14482,-72.73549;42.14385,-72.73571;42.14346,-72.7356;42.14328,-72.73553;42.14291,-72.7351;42.14202,-72.73353;42.14164,-72.73339;42.14123,-72.73361;42.14048,-72.73401;42.13983,-72.73459;42.13923,-72.73635;42.13886,-72.73714;42.13774,-72.73868;42.13737,-72.73897;42.13651,-72.73921;42.13578,-72.73941;42.1341,-72.74116;42.13174,-72.74383;42.1304,-72.74524;42.12964,-72.74583;42.12847,-72.7464;42.12729,-72.74698;42.12621,-72.74744;42.12489,-72.7479;42.12433,-72.74828;42.12432,-72.74849;42.12516,-72.7516;42.12559,-72.75312;42.12656,-72.75739;42.12739,-72.76024;42.12854,-72.76353;42.22137,-72.57837
42.11969,-72.46367;42.11963,-72.4641;42.11952,-72.46446;42.11946,-72.46461;42.11934,-72.46485;42.11827,-72.46664;42.11786,-72.46741;42.11772,-72.46773;42.1175,-72.4684;42.11733,-72.4696;42.11701,-72.47243;42.11687,-72.47364;42.1166,-72.4762;42.11624,-72.47864;42.11588,-72.48085;42.11517,-72.48565;42.11458,-72.48974;42.11419,-72.49236;42.11392,-72.49362;42.11389,-72.49397;42.11389,-72.49432;42.11394,-72.49491;42.11409,-72.49555;42.11425,-72.49598;42.11453,-72.49665;42.11491,-72.4976;42.11526,-72.49851;42.11578,-72.49971;42.11648,-72.5014;42.11713,-72.50304;42.11735,-72.50366;42.11742,-72.504;42.11747,-72.50448;42.11753,-72.50807;42.11757,-72.51071;42.11766,-72.5164;42.11764,-72.51734;42.11762,-72.51758;42.11753,-72.51805;42.11695,-72.5195;42.11676,-72.52;42.11667,-72.52033;42.11667,-72.52042;42.11633,-72.52274;42.11623,-72.52341;42.11617,-72.52376;42.11625,-72.52395;42.11628,-72.52401;42.11683,-72.52416;42.11731,-72.52423;42.11769,-72.52427;42.11784,-72.52438;42.11808,-72.52445;42.11831,-72.52453;42.11849,-72.52462;42.1189,-72.52489;42.11977,-72.52575;42.12007,-72.526;42.12037,-72.52618;42.12072,-72.52633;42.12166,-72.52655;42.12289,-72.52679;42.12467,-72.52714;42.12577,-72.52736;42.1271,-72.52762;42.12941,-72.52806;42.1296,-72.52812;42.12965,-72.52817;42.12979,-72.52835;42.12972,-72.52933;42.12961,-72.53005;42.12958,-72.53043;42.12962,-72.53119;42.13009,-72.53325;42.13025,-72.53359;42.13078,-72.53471;42.13138,-72.5366;42.13267,-72.54073;42.13273,-72.5413;42.13264,-72.54268;42.13239,-72.54581;42.13236,-72.54603;42.1331,-72.54613;42.13372,-72.54622;42.13499,-72.54639;42.13582,-72.54652;42.13648,-72.5467;42.13695,-72.54688;42.13724,-72.54702;42.13857,-72.54775;42.13946,-72.54829;42.14099,-72.54915;42.14163,-72.54951;42.1426,-72.55005;42.14287,-72.55024;42.14339,-72.55078;42.14358,-72.55103;42.14374,-72.55135;42.144,-72.55194;42.14399,-72.55214;42.14371,-72.55265;42.14367,-72.55269;42.14323,-72.55354;42.14234,-72.55526;42.14209,-72.55571;42.14092,-72.55799;42.14011,-72.55955;42.13825,-72.56314;42.13776,-72.57021;42.13821,-72.57054;42.1388,-72.571;42.14024,-72.5722;42.1413,-72.57168;42.14144,-72.57143;42.14204,-72.57084;42.14265,-72.57012;42.14355,-72.56972;42.14368,-72.56992;42.14419,-72.5707;42.11969,-72.46367
42.11859,-72.58929;42.11859,-72.58929;42.11856,-72.58913;42.11856,-72.58913;42.11816,-72.58921;42.11816,-72.58921;42.11789,-72.58926;42.11789,-72.58926;42.11725,-72.58884;42.11787,-72.58813;42.11787,-72.58813;42.11809,-72.58787;42.11809,-72.58787;42.11902,-72.58676;42.11902,-72.58676;42.11918,-72.58659;42.11954,-72.58629;42.11954,-72.58629;42.11996,-72.58595;42.11996,-72.58595;42.12011,-72.5858;42.12011,-72.5858;42.11999,-72.58564;42.11977,-72.58541;42.11977,-72.58541;42.11954,-72.58528;42.11954,-72.58528;42.11933,-72.58521;42.11933,-72.58521;42.11777,-72.58488;42.11777,-72.58488;42.11741,-72.5848;42.11704,-72.58478;42.11704,-72.58478;42.11682,-72.58479;42.11682,-72.58479;42.11601,-72.58498;42.11601,-72.58498;42.11531,-72.58516;42.11514,-72.58521;42.11514,-72.58521;42.11498,-72.5853;42.11498,-72.5853;42.11412,-72.58591;42.11412,-72.58591;42.11392,-72.58608;42.11359,-72.58644;42.11359,-72.58644;42.11319,-72.58696;42.11319,-72.58696;42.11197,-72.58849;42.11197,-72.58849;42.11024,-72.59066;42.10926,-72.59194;42.10926,-72.59194;42.10896,-72.59234;42.10896,-72.59234;42.10889,-72.59249;42.10889,-72.59249;42.10886,-72.59255;42.10874,-72.59276;42.10874,-72.59276;42.10862,-72.5931;42.10862,-72.5931;42.10853,-72.59332;42.10853,-72.59332;42.10818,-72.59373;42.10818,-72.59373;42.10771,-72.59422;42.10717,-72.59357;42.10717,-72.59357;42.1066,-72.59272;42.1066,-72.59272;42.10635,-72.5924;42.10635,-72.5924;42.10573,-72.59145;42.10429,-72.58927;42.10429,-72.58927;42.10355,-72.58815;42.10355,-72.58815;42.103,-72.58724;42.103,-72.58724;42.10233,-72.58615;42.10211,-72.58578;42.10211,-72.58578;42.10199,-72.58552;42.10199,-72.58552;42.10187,-72.58506;42.10187,-72.58506;42.10183,-72.58481;42.10182,-72.58426;42.10182,-72.58426;42.10195,-72.58332;42.10195,-72.58332;42.10197,-72.58298;42.10197,-72.58298;42.10194,-72.58259;42.10194,-72.58259;42.10189,-72.58236;42.10181,-72.58216;42.10181,-72.58216;42.10179,-72.5821;42.10179,-72.5821;42.10177,-72.58202;42.10177,-72.58202;42.10166,-72.58186;42.10074,-72.58056;42.10074,-72.58056;42.10022,-72.57982;42.10022,-72.57982;42.10009,-72.57962;42.10009,-72.57962;42.09963,-72.57876;42.09951,-72.57852;42.09951,-72.57852;42.09942,-72.57866;42.09942,-72.57866;42.09936,-72.57874;42.09936,-72.57874;42.11859,-72.58929
