sep=;
74 Springfield Street,  Agawam MA, 1001;224 Michael Sears Road,  Belchertown MA, 1007;42.08955, -72.63071000000001; 42.08944, -72.62716; 42.090720000000005, -72.6264; 42.09179, -72.62826000000001; 42.09367, -72.62871000000001; 42.096160000000005, -72.62769; 42.098800000000004, -72.62605; 42.10105, -72.62677000000001; 42.102590000000006, -72.62475; 42.103500000000004, -72.62315000000001; 42.106370000000005, -72.61753; 42.1073, -72.61591; 42.111540000000005, -72.60851000000001; 42.10821000000001, -72.60396; 42.107510000000005, -72.60204; 42.108230000000006, -72.59936; 42.11274, -72.59305; 42.11701, -72.58677; 42.12209, -72.57447; 42.127190000000006, -72.56628; 42.130370000000006, -72.55928; 42.135560000000005, -72.55551000000001; 42.14096000000001, -72.55120000000001; 42.144920000000006, -72.5493; 42.150490000000005, -72.54949; 42.159560000000006, -72.54773; 42.163120000000006, -72.54697; 42.16378, -72.54608; 42.16358, -72.54331; 42.162650000000006, -72.54197; 42.1604, -72.54193000000001; 42.160970000000006, -72.53922; 42.16129, -72.53759000000001; 42.163940000000004, -72.51082000000001; 42.16787, -72.47311; 42.16801, -72.47046; 42.167190000000005, -72.46957; 42.166920000000005, -72.47093000000001; 42.169180000000004, -72.47348000000001; 42.16902, -72.47621000000001; 42.17266, -72.47733000000001; 42.17582, -72.47330000000001; 42.177080000000004, -72.47236000000001; 42.18038000000001, -72.47104; 42.184380000000004, -72.4666; 42.18968, -72.46146; 42.192440000000005, -72.45790000000001; 42.19249000000001, -72.45228; 42.193130000000004, -72.44862; 42.194340000000004, -72.44460000000001; 42.19708000000001, -72.43631; 42.19921, -72.43236; 42.2012, -72.42457; 42.20355000000001, -72.41729000000001; 42.20566, -72.41036000000001; 42.20935, -72.40687000000001; 42.21063, -72.40537; 42.21114, -72.40092; 42.21226, -72.39756000000001; 42.21257000000001, -72.39038000000001; 42.211360000000006, -72.38744000000001; 42.21049, -72.38175000000001; 42.20864, -72.37754000000001; 42.208940000000005, -72.37346000000001; 42.20928000000001, -72.37; 42.210190000000004, -72.36749; 42.209050000000005, -72.36649; 42.210350000000005, -72.36479; 42.21058, -72.36328; 42.21154000000001, -72.36370000000001; 42.21327, -72.36319; 42.21528, -72.36408; 42.21862, -72.36371000000001; 42.220020000000005, -72.3643; 42.221210000000006, -72.36431; 42.22549, -72.36290000000001; 42.227320000000006, -72.36162; 42.22914, -72.36209000000001; 42.2319, -72.3622; 42.08955, -72.63071000000001
61 Cubles Drive,  Brimfield MA, 1010;46 Deslauriers Street,  Chicopee MA, 1020;42.133590000000005, -72.18997; 42.132870000000004, -72.18979; 42.131840000000004, -72.191; 42.13053, -72.19241000000001; 42.131060000000005, -72.19498; 42.131130000000006, -72.19641; 42.12951, -72.19596; 42.12729, -72.19635000000001; 42.123250000000006, -72.19914; 42.12236, -72.20060000000001; 42.121100000000006, -72.21135000000001; 42.11835000000001, -72.22192000000001; 42.117610000000006, -72.22340000000001; 42.11488000000001, -72.22539; 42.11397, -72.22693000000001; 42.114140000000006, -72.22981; 42.11692, -72.23542; 42.1188, -72.23992000000001; 42.11914, -72.2436; 42.11986, -72.24725000000001; 42.12133, -72.24949000000001; 42.12801, -72.25339000000001; 42.131550000000004, -72.25582; 42.13586, -72.26105000000001; 42.137550000000005, -72.26443; 42.138270000000006, -72.26705000000001; 42.14034, -72.27442; 42.141980000000004, -72.27881000000001; 42.14378000000001, -72.28447; 42.143930000000005, -72.28696000000001; 42.14506, -72.29553; 42.145480000000006, -72.30028; 42.146910000000005, -72.30433000000001; 42.14978000000001, -72.30746; 42.151360000000004, -72.31491000000001; 42.153200000000005, -72.32101; 42.15545, -72.32398; 42.160520000000005, -72.32861000000001; 42.16628, -72.32602; 42.16845, -72.32624000000001; 42.1691, -72.3271; 42.170030000000004, -72.33015; 42.170820000000006, -72.33076000000001; 42.17345, -72.33253; 42.17365, -72.33359; 42.172650000000004, -72.33497000000001; 42.171670000000006, -72.33648000000001; 42.17121, -72.33894000000001; 42.17076, -72.34464000000001; 42.1696, -72.34937000000001; 42.167350000000006, -72.3538; 42.15896, -72.36501000000001; 42.15659, -72.36929; 42.15471, -72.37505; 42.15399, -72.38005000000001; 42.154070000000004, -72.38577000000001; 42.156180000000006, -72.40088; 42.15852, -72.41504; 42.16367, -72.42687000000001; 42.16969, -72.44153; 42.170460000000006, -72.44625; 42.16951, -72.46039; 42.16736, -72.48034000000001; 42.16512, -72.50239; 42.161590000000004, -72.53758; 42.16181, -72.54281; 42.163140000000006, -72.55267; 42.164860000000004, -72.55779000000001; 42.1685, -72.56779; 42.16924, -72.5721; 42.16978, -72.57906000000001; 42.170030000000004, -72.57982000000001; 42.17121, -72.58072; 42.17268000000001, -72.58053000000001; 42.173410000000004, -72.57863; 42.173640000000006, -72.57638; 42.17936, -72.57701; 42.18007, -72.57696; 42.18074, -72.57619000000001; 42.133590000000005, -72.18997
5 Irving Street,  Easthampton MA, 1027;29 Church Street,  Easthampton MA, 1027;42.269490000000005, -72.65780000000001; 42.269490000000005, -72.65780000000001; 42.269490000000005, -72.65780000000001; 42.269490000000005, -72.65780000000001; 42.269490000000005, -72.65780000000001; 42.269490000000005, -72.65780000000001; 42.269960000000005, -72.65796; 42.269960000000005, -72.65796; 42.269960000000005, -72.65796; 42.269960000000005, -72.65796; 42.269960000000005, -72.65796; 42.269960000000005, -72.65796; 42.26981000000001, -72.65862; 42.26981000000001, -72.65862; 42.26981000000001, -72.65862; 42.26981000000001, -72.65862; 42.26981000000001, -72.65862; 42.26981000000001, -72.65862; 42.269580000000005, -72.65987000000001; 42.269580000000005, -72.65987000000001; 42.269580000000005, -72.65987000000001; 42.269580000000005, -72.65987000000001; 42.269580000000005, -72.65987000000001; 42.269470000000005, -72.6605; 42.269470000000005, -72.6605; 42.269470000000005, -72.6605; 42.269470000000005, -72.6605; 42.269470000000005, -72.6605; 42.269470000000005, -72.6605; 42.2689, -72.66031000000001; 42.2689, -72.66031000000001; 42.2689, -72.66031000000001; 42.2689, -72.66031000000001; 42.2689, -72.66031000000001; 42.2689, -72.66031000000001; 42.268860000000004, -72.66025; 42.268860000000004, -72.66025; 42.268860000000004, -72.66025; 42.268860000000004, -72.66025; 42.268860000000004, -72.66025; 42.268860000000004, -72.66025; 42.26878000000001, -72.66018000000001; 42.26878000000001, -72.66018000000001; 42.26878000000001, -72.66018000000001; 42.26878000000001, -72.66018000000001; 42.26878000000001, -72.66018000000001; 42.26858, -72.66011; 42.26858, -72.66011; 42.26858, -72.66011; 42.26858, -72.66011; 42.26858, -72.66011; 42.26858, -72.66011; 42.2667, -72.65966; 42.2667, -72.65966; 42.2667, -72.65966; 42.2667, -72.65966; 42.2667, -72.65966; 42.2667, -72.65966; 42.266920000000006, -72.65763000000001; 42.266920000000006, -72.65763000000001; 42.266920000000006, -72.65763000000001; 42.266920000000006, -72.65763000000001; 42.266920000000006, -72.65763000000001; 42.26699000000001, -72.65689; 42.26699000000001, -72.65689; 42.26699000000001, -72.65689; 42.26699000000001, -72.65689; 42.26699000000001, -72.65689; 42.26699000000001, -72.65689; 42.26769, -72.65704000000001; 42.26769, -72.65704000000001; 42.26769, -72.65704000000001; 42.26769, -72.65704000000001; 42.26769, -72.65704000000001; 42.26769, -72.65704000000001; 42.26769, -72.65707; 42.26769, -72.65707; 42.26769, -72.65707; 42.26769, -72.65707; 42.269490000000005, -72.65780000000001
711 Parker Street,  East Longmeadow MA, 1028;44 Elm Street,  East Longmeadow MA, 1028;42.08231000000001, -72.48863; 42.08231000000001, -72.48863; 42.081390000000006, -72.48777000000001; 42.081010000000006, -72.48743; 42.08084, -72.4873; 42.08062, -72.48716; 42.08032, -72.48704000000001; 42.079980000000006, -72.48697; 42.07979, -72.48694; 42.07979, -72.48694; 42.07936, -72.48757; 42.07887, -72.48827; 42.078540000000004, -72.48876; 42.07757, -72.49039; 42.077020000000005, -72.49138; 42.07656, -72.4923; 42.07643, -72.49263; 42.07643, -72.49263; 42.0763, -72.49306; 42.075950000000006, -72.49417000000001; 42.075750000000006, -72.49485; 42.07555000000001, -72.49541; 42.07546000000001, -72.49563; 42.07529, -72.49593; 42.07509, -72.49622000000001; 42.07509, -72.49622000000001; 42.074870000000004, -72.49649000000001; 42.073890000000006, -72.49748000000001; 42.07332, -72.49804; 42.07314, -72.49826; 42.07291, -72.49866; 42.07276, -72.49904000000001; 42.07269, -72.49933; 42.07269, -72.49933; 42.07264000000001, -72.49964; 42.072590000000005, -72.50012000000001; 42.072520000000004, -72.501; 42.072480000000006, -72.50139; 42.07247, -72.50148; 42.07285, -72.50160000000001; 42.07338, -72.50176; 42.07338, -72.50176; 42.0737, -72.50186000000001; 42.074180000000005, -72.50202; 42.07435, -72.50213000000001; 42.07443000000001, -72.50221; 42.0748, -72.50271000000001; 42.07504, -72.50308000000001; 42.075160000000004, -72.50335000000001; 42.075160000000004, -72.50335000000001; 42.07522, -72.50369; 42.075230000000005, -72.50386; 42.075210000000006, -72.50420000000001; 42.07513, -72.50453; 42.075010000000006, -72.50477000000001; 42.07486, -72.50498; 42.07464, -72.50518000000001; 42.07464, -72.50518000000001; 42.07419, -72.50543; 42.07397, -72.50559000000001; 42.0739, -72.50569; 42.073840000000004, -72.50581000000001; 42.073820000000005, -72.50597; 42.07383, -72.50613; 42.07388, -72.50643000000001; 42.07388, -72.50643000000001; 42.07396000000001, -72.50686; 42.074020000000004, -72.50721; 42.07408, -72.50818000000001; 42.07414000000001, -72.50945; 42.074130000000004, -72.50998000000001; 42.073100000000004, -72.51002000000001; 42.07227, -72.51004; 42.07227, -72.51004; 42.07166, -72.51008; 42.071490000000004, -72.51011000000001; 42.07108, -72.51021; 42.07048, -72.51047000000001; 42.06767000000001, -72.51177000000001; 42.08231000000001, -72.48863
30 Windermere Drive,  Agawam MA, 1030;64 Church Street,  Hardwick MA, 1031;42.06987, -72.65142; 42.07121, -72.64967; 42.072030000000005, -72.64459000000001; 42.07081, -72.64069; 42.07012, -72.64029000000001; 42.06954, -72.6419; 42.07065, -72.64099; 42.07528000000001, -72.62345; 42.07553, -72.61024; 42.07934, -72.59071; 42.082010000000004, -72.58064; 42.08221, -72.5785; 42.08532, -72.57981000000001; 42.09523, -72.58482000000001; 42.102520000000005, -72.59443; 42.105250000000005, -72.59970000000001; 42.10768, -72.59968; 42.112700000000004, -72.59281; 42.11652, -72.58769000000001; 42.12165, -72.57533000000001; 42.12675, -72.56718000000001; 42.13192, -72.55769000000001; 42.139140000000005, -72.55309000000001; 42.143370000000004, -72.54957; 42.150600000000004, -72.54949; 42.16077000000001, -72.54746; 42.16384, -72.54586; 42.163000000000004, -72.54202000000001; 42.16035, -72.54188; 42.16067, -72.53966000000001; 42.16308, -72.51911000000001; 42.16926, -72.45937; 42.17014, -72.44675000000001; 42.16559, -72.43220000000001; 42.15794, -72.41359; 42.153800000000004, -72.38378; 42.155530000000006, -72.3716; 42.161620000000006, -72.36118; 42.169360000000005, -72.34959; 42.17114, -72.33794; 42.17116, -72.33134000000001; 42.168870000000005, -72.32626; 42.171640000000004, -72.32574000000001; 42.17441, -72.32195; 42.176820000000006, -72.31966; 42.179990000000004, -72.31796; 42.1816, -72.31475; 42.18625, -72.31488; 42.18867, -72.31312000000001; 42.190310000000004, -72.30924; 42.19332, -72.30770000000001; 42.19458, -72.30484000000001; 42.197500000000005, -72.3041; 42.20264, -72.30174000000001; 42.206520000000005, -72.30128; 42.21036, -72.30250000000001; 42.216930000000005, -72.29962; 42.22511, -72.29725; 42.227830000000004, -72.2937; 42.231280000000005, -72.29220000000001; 42.236470000000004, -72.28895; 42.23912000000001, -72.28435; 42.24118, -72.27777; 42.2466, -72.26859; 42.24907, -72.26303; 42.250800000000005, -72.25862000000001; 42.25695, -72.24931000000001; 42.259710000000005, -72.23976; 42.266290000000005, -72.23445000000001; 42.27335, -72.22783000000001; 42.2747, -72.22304000000001; 42.27868, -72.22191000000001; 42.28293, -72.21994000000001; 42.28551, -72.21427; 42.287020000000005, -72.21185000000001; 42.289410000000004, -72.21220000000001; 42.29430000000001, -72.21242000000001; 42.305440000000004, -72.2111; 42.31101, -72.20872; 42.06987, -72.65142
8 Kozera Avenue,  Hadley MA, 1035;475 Maple Street,  Holyoke MA, 1040;42.360060000000004, -72.57238000000001; 42.3609, -72.57467000000001; 42.359790000000004, -72.57722000000001; 42.35902, -72.57823; 42.35642, -72.58054; 42.354910000000004, -72.58472; 42.35457, -72.58694000000001; 42.352120000000006, -72.58791000000001; 42.35118000000001, -72.5888; 42.349700000000006, -72.59049; 42.34606, -72.58985000000001; 42.34223, -72.58908000000001; 42.3419, -72.5959; 42.341, -72.60043; 42.33999, -72.60631000000001; 42.339180000000006, -72.61054; 42.33879, -72.61289000000001; 42.33843, -72.61516; 42.33679, -72.61738000000001; 42.334410000000005, -72.62019000000001; 42.333800000000004, -72.62066; 42.33366, -72.62098; 42.33317, -72.62134; 42.3322, -72.62131000000001; 42.33138, -72.61972; 42.329530000000005, -72.61809000000001; 42.32724, -72.61675000000001; 42.324850000000005, -72.61589000000001; 42.321340000000006, -72.61550000000001; 42.31868, -72.61586000000001; 42.316250000000004, -72.61671000000001; 42.313990000000004, -72.61801000000001; 42.306920000000005, -72.62437; 42.30364, -72.62741000000001; 42.301660000000005, -72.62877; 42.29878, -72.62982000000001; 42.296240000000004, -72.62989; 42.294070000000005, -72.62931; 42.29171, -72.62794000000001; 42.28985, -72.62614; 42.28779, -72.62313; 42.28481, -72.61707000000001; 42.281060000000004, -72.60948; 42.27975, -72.60792000000001; 42.27747, -72.60637000000001; 42.275920000000006, -72.6059; 42.27375000000001, -72.60589; 42.271440000000005, -72.60676000000001; 42.269380000000005, -72.60841; 42.266690000000004, -72.61166; 42.264610000000005, -72.61355; 42.25927, -72.61661000000001; 42.2567, -72.61849000000001; 42.252790000000005, -72.62206; 42.249050000000004, -72.62416; 42.24644000000001, -72.62555; 42.243660000000006, -72.62793; 42.24138000000001, -72.62965000000001; 42.235780000000005, -72.63262; 42.23002, -72.63622000000001; 42.228010000000005, -72.63699000000001; 42.225190000000005, -72.63714; 42.22307000000001, -72.63657; 42.21997, -72.63472; 42.21929, -72.63443000000001; 42.218650000000004, -72.63456000000001; 42.21795, -72.63586000000001; 42.217380000000006, -72.63735000000001; 42.215990000000005, -72.63723; 42.214760000000005, -72.63713; 42.21385, -72.63594; 42.213390000000004, -72.63534; 42.21106, -72.63356; 42.2107, -72.63292000000001; 42.210660000000004, -72.63015; 42.20984000000001, -72.63009000000001; 42.20734, -72.63080000000001; 42.2057, -72.62567; 42.205470000000005, -72.62335; 42.360060000000004, -72.57238000000001
80 North East Street,  Holyoke MA, 1040;2375 Main Street,  Palmer MA, 1069;42.204240000000006, -72.59801; 42.204330000000006, -72.59464000000001; 42.20327, -72.59503000000001; 42.20174, -72.59635; 42.19794, -72.60222; 42.196160000000006, -72.60227; 42.193690000000004, -72.60021; 42.192840000000004, -72.59991000000001; 42.192310000000006, -72.59967; 42.191970000000005, -72.59878; 42.18862, -72.59909; 42.18782, -72.59892; 42.18659, -72.59806; 42.185280000000006, -72.59546; 42.18363, -72.59320000000001; 42.181000000000004, -72.59146000000001; 42.175450000000005, -72.58765000000001; 42.173120000000004, -72.58674; 42.17297000000001, -72.58557; 42.173350000000006, -72.58152000000001; 42.17287, -72.58083; 42.172380000000004, -72.58074; 42.169160000000005, -72.58104; 42.16852, -72.58135; 42.168330000000005, -72.58203; 42.1687, -72.58261; 42.16917, -72.58252; 42.169500000000006, -72.58086; 42.169430000000006, -72.57906000000001; 42.168530000000004, -72.56959; 42.16714, -72.56473000000001; 42.16344, -72.55488000000001; 42.162530000000004, -72.55126; 42.16161, -72.54372000000001; 42.16129, -72.53941; 42.161440000000006, -72.53501; 42.163990000000005, -72.51039; 42.16639000000001, -72.48787; 42.167100000000005, -72.48118000000001; 42.168290000000006, -72.46878000000001; 42.169380000000004, -72.45816; 42.17018, -72.44754; 42.16971, -72.44331000000001; 42.168510000000005, -72.43896000000001; 42.163470000000004, -72.42736000000001; 42.159000000000006, -72.41713; 42.157700000000006, -72.41241000000001; 42.15607000000001, -72.40108000000001; 42.153870000000005, -72.38497000000001; 42.15395, -72.37887; 42.15449, -72.37544000000001; 42.15558, -72.37144; 42.157090000000004, -72.36789; 42.15957, -72.36389000000001; 42.16669, -72.35443000000001; 42.16808, -72.35233000000001; 42.16953, -72.34915000000001; 42.17051, -72.34538; 42.171040000000005, -72.33939000000001; 42.1715, -72.33461000000001; 42.17154, -72.33242; 42.17116, -72.33134000000001; 42.170350000000006, -72.33057000000001; 42.16949, -72.32938; 42.16897, -72.32684; 42.168470000000006, -72.32627000000001; 42.16805, -72.32637000000001; 42.16803, -72.33023; 42.16888, -72.33210000000001; 42.16818000000001, -72.33383; 42.167280000000005, -72.33591000000001; 42.164440000000006, -72.34046000000001; 42.16411, -72.34387000000001; 42.170770000000005, -72.34522000000001; 42.17401, -72.34561000000001; 42.17564, -72.34542; 42.179050000000004, -72.34682000000001; 42.18052, -72.34775; 42.1826, -72.34798; 42.204240000000006, -72.59801
77 Shadow Brook Estates,  South Hadley MA, 1075;17 Stratfield Avenue,  Westfield MA, 1085;42.22137, -72.57837; 42.22126, -72.57761; 42.22167, -72.57740000000001; 42.22191, -72.57753000000001; 42.222060000000006, -72.57674; 42.22189, -72.57359000000001; 42.219820000000006, -72.57263; 42.215430000000005, -72.57260000000001; 42.21406, -72.57238000000001; 42.211420000000004, -72.5719; 42.206950000000006, -72.5711; 42.205540000000006, -72.57106; 42.20347, -72.57144000000001; 42.19953, -72.57313; 42.193000000000005, -72.57605000000001; 42.190000000000005, -72.57732; 42.186440000000005, -72.57757000000001; 42.18018, -72.57735000000001; 42.17542, -72.57653; 42.174510000000005, -72.57651; 42.17349, -72.57695000000001; 42.173480000000005, -72.57884; 42.173260000000006, -72.58059; 42.17148, -72.58082; 42.170700000000004, -72.5811; 42.1702, -72.58186; 42.17004, -72.58285000000001; 42.16996, -72.58334; 42.169790000000006, -72.58637; 42.168910000000004, -72.59134; 42.168000000000006, -72.59486000000001; 42.1664, -72.59879000000001; 42.16478, -72.60146; 42.16259, -72.60432; 42.15757000000001, -72.61097000000001; 42.155800000000006, -72.61448; 42.1548, -72.61772; 42.15426, -72.62100000000001; 42.154070000000004, -72.62686000000001; 42.15346, -72.64504000000001; 42.1533, -72.65119; 42.153240000000004, -72.65691000000001; 42.152590000000004, -72.66047; 42.149910000000006, -72.66820000000001; 42.1488, -72.671; 42.143370000000004, -72.68034; 42.141040000000004, -72.68449000000001; 42.14003, -72.68721000000001; 42.13931, -72.69043; 42.139030000000005, -72.69392; 42.13958, -72.70385; 42.1402, -72.71145; 42.14219000000001, -72.71965; 42.143510000000006, -72.72613000000001; 42.144580000000005, -72.73198000000001; 42.14495, -72.73267000000001; 42.146010000000004, -72.73359; 42.14627, -72.73443; 42.1458, -72.73516000000001; 42.14419, -72.73568; 42.143460000000005, -72.7356; 42.143010000000004, -72.73525000000001; 42.14202, -72.73353; 42.14157, -72.73337000000001; 42.140480000000004, -72.73401000000001; 42.13958, -72.73509; 42.13886, -72.73714000000001; 42.137530000000005, -72.73886; 42.13651, -72.73921; 42.13472, -72.74049000000001; 42.13174, -72.74383; 42.130010000000006, -72.74555000000001; 42.12847, -72.74640000000001; 42.12711, -72.74707000000001; 42.12489, -72.7479; 42.124300000000005, -72.74843; 42.12516, -72.75160000000001; 42.125870000000006, -72.75426; 42.127390000000005, -72.76024000000001; 42.22137, -72.57837
464 Springfield Street,  Wilbraham MA, 1095;107 West Canton Circle,  Springfield MA, 1104;42.119690000000006, -72.46367000000001; 42.11963, -72.4641; 42.119460000000004, -72.46461000000001; 42.118880000000004, -72.46561000000001; 42.11786, -72.46741; 42.11750000000001, -72.4684; 42.11733, -72.4696; 42.11701, -72.47243; 42.116600000000005, -72.4762; 42.116240000000005, -72.47864000000001; 42.115170000000006, -72.48565; 42.11419, -72.49236; 42.11392, -72.49362; 42.113890000000005, -72.49432; 42.11394000000001, -72.49491; 42.114090000000004, -72.49555000000001; 42.11453, -72.49665; 42.11504, -72.49797000000001; 42.11578, -72.49971000000001; 42.11713, -72.50304000000001; 42.11735, -72.50366000000001; 42.11742, -72.504; 42.11753, -72.50807; 42.117630000000005, -72.51464; 42.11764, -72.51734; 42.11753, -72.51805; 42.11695, -72.51950000000001; 42.116760000000006, -72.52000000000001; 42.116670000000006, -72.52042; 42.116330000000005, -72.52274; 42.116170000000004, -72.52376000000001; 42.11628, -72.52401; 42.11683, -72.52416000000001; 42.11769, -72.52427; 42.11784, -72.52438000000001; 42.118080000000006, -72.52445; 42.11849, -72.52462000000001; 42.11919, -72.52514000000001; 42.120070000000005, -72.52600000000001; 42.120720000000006, -72.52633; 42.121660000000006, -72.52655; 42.122890000000005, -72.52679; 42.12577, -72.52736; 42.128190000000004, -72.52785; 42.1296, -72.52812; 42.12979000000001, -72.52835; 42.129720000000006, -72.52933; 42.12961000000001, -72.53005; 42.12962, -72.53119000000001; 42.13009, -72.53325000000001; 42.13078, -72.53471; 42.132670000000005, -72.54073000000001; 42.13273, -72.5413; 42.13239, -72.54581; 42.132360000000006, -72.54603; 42.133100000000006, -72.54613; 42.13499, -72.54639; 42.136070000000004, -72.54657; 42.136950000000006, -72.54688; 42.13857, -72.54775000000001; 42.139140000000005, -72.54808000000001; 42.14099, -72.54915000000001; 42.1426, -72.55005000000001; 42.14316, -72.55052; 42.14358, -72.55103000000001; 42.144000000000005, -72.55194; 42.14399, -72.55214000000001; 42.143710000000006, -72.55265; 42.14323, -72.55354000000001; 42.142340000000004, -72.55526; 42.14092, -72.55799; 42.138250000000006, -72.56314; 42.13776, -72.57021; 42.1388, -72.57100000000001; 42.140240000000006, -72.57220000000001; 42.1413, -72.57168; 42.14204, -72.57084; 42.14331000000001, -72.56935; 42.14368, -72.56992000000001; 42.119690000000006, -72.46367000000001
195 Nursery Street,  Springfield MA, 1104;95 Central Street,  Springfield MA, 1105;42.118590000000005, -72.58929; 42.118590000000005, -72.58929; 42.11856, -72.58913000000001; 42.11816, -72.58921000000001; 42.11789, -72.58926000000001; 42.117250000000006, -72.58884; 42.11787, -72.58813; 42.11787, -72.58813; 42.11809, -72.58787000000001; 42.119020000000006, -72.58676000000001; 42.11918, -72.58659; 42.11954, -72.58629; 42.119960000000006, -72.58595000000001; 42.120110000000004, -72.5858; 42.120110000000004, -72.5858; 42.11999, -72.58564000000001; 42.11977, -72.58541000000001; 42.11954, -72.58528000000001; 42.119330000000005, -72.58521; 42.11777, -72.58488000000001; 42.11777, -72.58488000000001; 42.11741000000001, -72.5848; 42.11704, -72.58478000000001; 42.116820000000004, -72.58479000000001; 42.11601, -72.58498; 42.11531, -72.58516; 42.115140000000004, -72.58521; 42.115140000000004, -72.58521; 42.11498, -72.5853; 42.11412000000001, -72.58591000000001; 42.11392, -72.58608000000001; 42.11359, -72.58644000000001; 42.11319, -72.58696; 42.11197000000001, -72.58849000000001; 42.11197000000001, -72.58849000000001; 42.110240000000005, -72.59066; 42.109260000000006, -72.59194000000001; 42.10896, -72.59234000000001; 42.10889, -72.59249000000001; 42.10886, -72.59255; 42.108740000000004, -72.59276000000001; 42.108740000000004, -72.59276000000001; 42.10862, -72.5931; 42.10853, -72.59332; 42.108180000000004, -72.59373000000001; 42.107710000000004, -72.59422; 42.10717, -72.59357; 42.10717, -72.59357; 42.1066, -72.59272; 42.106350000000006, -72.59240000000001; 42.10573, -72.59145000000001; 42.104290000000006, -72.58927; 42.103550000000006, -72.58815; 42.103, -72.58724000000001; 42.103, -72.58724000000001; 42.10233, -72.58615; 42.10211, -72.58578; 42.10199, -72.58552; 42.101870000000005, -72.58506000000001; 42.10183000000001, -72.58481; 42.101820000000004, -72.58426; 42.101820000000004, -72.58426; 42.10195, -72.58332; 42.10197, -72.58298; 42.101940000000006, -72.58259000000001; 42.101890000000004, -72.58236000000001; 42.10181, -72.58216; 42.10181, -72.58216; 42.10179, -72.58210000000001; 42.10177, -72.58202; 42.10166, -72.58186; 42.10074, -72.58056; 42.10022, -72.57982000000001; 42.10009, -72.57962; 42.10009, -72.57962; 42.099630000000005, -72.57876; 42.09951, -72.57852000000001; 42.09942, -72.57866; 42.099360000000004, -72.57874000000001; 42.118590000000005, -72.58929
